30pN,20pN,15pN,12pN,10pN,7.5pN,7pN,6.5pN,6pN,5.5pN,5pN
,-3.93575,-1.24282,-0.397676,-0.00981804,2.83703,3.49878,4.59077,1.61534,4.33388,
,-2.90611,-2.58767,-0.619729,-0.493723,0.9934,1.24195,5.3397,4.59868,4.29617,
,-3.24261,-1.28957,-1.80972,-1.98982,1.1582,4.99541,4.45003,4.84358,3.22411,
,-3.46574,-2.98023,-1.6344,-0.808154,3.74403,1.86669,4.2238,4.67378,2.87655,
,-3.34796,-2.87102,-1.55098,-2.61565,0.651544,4.69972,5.03367,4.97706,4.10196,
,-4.91657,-1.92087,-1.64005,0.644009,3.08438,4.11022,4.15336,3.7533,3.29309,
,-3.30713,-3.10283,-4.66711,-0.571195,-2.67058,4.60327,2.46986,5.62833,3.44795,
,-3.69281,-2.60403,-1.05742,-0.755086,2.50161,5.62479,3.15775,3.85943,4.24946,
,-3.53027,-2.86887,-0.11659,-3.77981,2.55013,3.46793,3.04578,0.195164,4.54127,
,-3.19379,-3.18197,-1.2466,0.510065,-2.213,-1.13887,5.65318,5.32882,4.86498,
,-4.44654,-4.05509,-0.0620669,-0.147155,1.76991,3.06773,4.28477,3.01265,1.7157,
,-2.24933,-1.8248,-2.70008,-1.24918,3.09595,4.45151,4.52891,2.82412,4.37481,
,-3.14728,-3.24261,-0.759372,-0.889722,2.41046,5.91172,4.74716,4.53976,4.62843,
,-4.36655,-4.62889,-2.37431,-2.92414,-0.653217,3.26203,3.54749,1.98364,1.98113,
,-4.98557,-2.99964,-1.85553,-1.07981,0.209466,4.62224,4.1356,3.48411,4.57291,
,-3.94202,-3.13598,-1.99878,-1.44668,2.36567,4.35742,5.11545,2.65614,3.50107,
,-4.31954,-3.2808,-1.49996,-1.47696,0.222543,2.88661,2.65674,5.39221,0.134242,
,-3.7126,-3.03964,-0.296844,-1.17354,2.22035,3.18816,4.93204,4.82499,4.40884,
,-4.62889,-3.24261,-1.68973,0.376036,2.10753,4.8082,5.60342,5.21263,3.79037,
,-4.01372,-1.8439,-1.03089,-1.15072,2.47089,5.59568,4.52767,1.42273,2.12993,
,-3.34796,-3.59926,-0.232437,0.147816,1.60456,4.10887,4.40256,1.88057,4.83481,
,-4.40575,-3.24261,-1.13959,-0.10303,3.14328,2.59625,3.94569,1.45017,2.27626,
,-3.7534,-3.59926,0.918329,2.13644,2.02136,1.48484,4.84617,5.13061,4.33352,
,-5.13971,-3.59926,-1.98624,0.877633,0.829682,4.39538,4.21416,6.52433,3.64381,
,-4.85203,0.00389242,-0.953863,-2.02617,1.82057,3.98457,3.39002,4.44811,3.93043,
,-4.85203,-3.7534,-0.622465,-2.87102,-1.03435,4.08745,5.41395,5.72719,3.22392,
,-4.04111,-1.2547,0.388048,-1.24789,-1.39171,3.55294,3.93022,3.51773,4.8742,
,,-1.89452,-0.468916,-3.63564,1.07004,4.45917,4.65189,4.65456,4.14192,
,,-1.83158,0.814391,-2.05627,1.76612,4.24801,4.51431,4.56663,4.21164,
,,-2.94249,-2.98023,-1.07353,0.689039,3.10162,2.70478,2.83314,3.75811,
,,-2.21293,-4.15888,-1.25502,1.09265,4.35735,1.31715,5.55213,4.1453,
,,-2.65481,-2.90611,-0.082393,3.51418,2.84938,2.39781,3.9959,3.02317,
,,-0.737057,-3.32055,0.124692,1.62631,3.18787,2.33697,5.08319,0.258488,
,,-3.46574,-2.94249,0.385058,0.457925,4.80818,4.91802,2.70064,4.14659,
,,-3.7534,-1.4446,-0.45402,1.55004,5.59566,4.83971,5.62118,3.95015,
,,-2.60074,-3.7126,-0.120779,-0.285103,4.10882,5.86532,5.09155,3.14864,
,,-0.693147,-1.35553,-0.0823387,2.17363,2.54233,5.3942,4.6857,3.94811,
,,-1.79565,0.0116321,1.35313,2.31743,1.45581,4.94484,3.88754,3.66021,
,,-2.17789,-2.03363,1.22513,1.59143,4.39534,3.40738,4.13248,2.20299,
,,-1.15072,-0.969665,-0.537255,2.17071,3.98264,4.25355,3.91012,5.49049,
,,-2.74182,-1.38922,-1.0173,0.0141691,4.07908,1.37254,5.67801,3.19215,
,,-1.65334,-0.712615,-1.20138,1.7918,3.5526,3.37976,3.65961,3.9451,
,,-1.93427,-2.54322,-3.06027,1.54239,4.45892,4.43406,3.11861,2.95446,
,,-1.55618,-0.0187242,0.0401818,1.83759,4.24797,5.70169,1.38994,3.44318,
,,-1.98982,-3.0371,-3.34796,0.798255,3.1014,3.87539,1.13583,2.79724,
,,-1.70573,-1.74721,0.282996,3.11323,2.69491,1.62849,2.86232,4.13057,
,,-0.603526,-3.2179,-1.37078,2.74938,4.4857,3.66142,5.6188,5.35621,
,,-3.67336,-1.55041,-0.926341,1.83062,4.65198,5.7715,3.47505,5.30912,
,,-1.01796,-1.90757,-0.0257179,2.63594,3.53806,3.90846,5.34685,2.43686,
,,-3.19379,-2.37677,-1.57489,1.43809,3.88039,5.39857,4.98869,4.09524,
,,-1.12633,-3.69281,-1.2616,0.600275,5.07684,4.40708,5.63636,5.03806,
,,-2.36712,-0.952592,-2.94249,1.29833,3.12166,4.082,3.47279,3.26646,
,,-1.45081,-1.05935,-2.19526,2.50963,4.23886,4.7644,3.7945,3.73479,
,,-1.57489,-3.46574,-0.762905,3.14276,2.89569,4.90834,5.32229,3.67209,
,,-3.06027,-0.915316,-1.81125,1.33047,4.34027,5.6682,3.16463,2.90001,
,,-2.17789,-1.39022,-0.548978,2.45861,3.04385,1.34459,1.45951,4.80639,
,,-1.17574,-3.59926,-1.10509,3.50042,4.28885,2.83575,4.50961,4.83438,
,,-2.45413,-2.34651,-0.887363,3.25314,5.5693,4.35581,2.49804,5.78338,
,,-1.93427,-0.965323,-2.01884,2.66864,3.98079,2.33725,4.89999,4.92914,
,,,-2.00419,-1.69238,-1.6445,5.52024,5.47854,2.23249,3.72135,
,,,-2.65481,-0.557306,1.29973,5.23157,5.35274,3.07298,4.63346,
,,,-0.775551,-1.54928,2.22977,2.25615,5.17961,3.4452,3.40875,
,,,-2.00419,-1.60117,0.648328,2.63651,2.92601,4.40709,5.20513,
,,,-0.926341,-3.10283,2.37271,5.10423,4.92362,3.37899,2.83394,
,,,-1.4446,-2.45413,2.77677,5.13147,6.06596,5.04773,2.59985,
,,,-2.75708,-1.21443,1.68979,3.9708,0.993074,5.26642,3.5101,
,,,-0.632523,0.0587405,1.2733,3.40255,6.27439,5.30246,3.84174,
,,,-3.34796,-2.36712,2.43763,3.23165,3.869,5.4061,2.8387,
,,,-1.28251,0.349388,1.04632,5.33908,3.69831,2.3632,3.40081,
,,,-0.439234,-2.72398,1.82692,4.67784,4.45203,1.50965,4.25501,
,,,-0.495313,-1.24303,2.68485,3.92369,1.95339,3.47609,5.14846,
,,,-1.16491,0.307485,-0.581203,2.90374,0.630149,4.23836,4.10622,
,,,-3.93575,-3.1761,1.80363,3.02693,3.82201,4.14376,4.81383,
,,,-1.67334,0.975201,3.53831,3.3581,3.29754,4.56423,2.72843,
,,,-3.02698,1.29755,0.580975,4.0532,5.09015,3.08061,4.74229,
,,,-2.29194,-1.30295,0.621366,5.10054,3.9047,3.74729,2.59099,
,,,-2.48296,0.473311,3.80302,2.77091,4.20913,3.60505,4.4123,
,,,-1.48691,0.507661,0.594183,5.49912,2.8312,4.60119,5.41417,
,,,-2.66879,0.124251,1.83164,5.12078,2.64414,4.59892,4.33947,
,,,-3.91102,0.132431,1.75926,5.5432,2.38626,2.12093,4.07197,
,,,-3.24261,0.239647,1.63946,4.14843,4.93518,2.00976,3.41987,
,,,-1.50211,-0.278603,-0.0559473,4.63797,1.35124,-1.21393,1.16416,
,,,-2.17789,-1.41202,0.706956,4.75283,4.61911,2.35081,4.4321,
,,,-2.17789,0.228569,0.846555,3.5435,4.28469,4.27664,3.5753,
,,,-1.96169,0.390081,1.88008,3.72743,4.50996,5.04832,2.94066,
,,,-1.06499,0.670799,0.526703,3.2465,1.58579,5.54035,5.02942,
,,,-0.669978,-0.740134,0.0418902,3.93496,4.56605,2.60232,5.42732,
,,,-1.35553,0.642064,-0.00980693,-0.259398,2.09267,4.57499,3.32367,
,,,-0.238143,-0.591114,1.43568,3.10905,1.93411,5.68338,3.31302,
,,,-2.42061,0.588786,2.46458,4.84886,3.88044,3.68547,4.71939,
,,,-1.8439,0.439416,1.47184,4.0245,5.01037,4.47577,6.07322,
,,,-1.272,,1.93804,2.04581,5.55211,3.57614,1.67701,
,,,0.973238,,-1.34701,2.99611,5.03322,5.30532,4.20706,
,,,0.189794,,2.22238,4.63277,5.05036,4.22114,4.05208,
,,,0.166869,,2.36228,4.69405,5.86934,0.400774,4.4379,
,,,-0.59642,,2.14857,3.97406,3.28269,6.60992,2.2301,
,,,-1.22769,,1.2169,2.33834,-0.665386,4.75434,2.3016,
,,,-1.36312,,3.32647,4.59629,4.80499,3.97675,4.12344,
,,,-2.01884,,5.15926,3.41141,3.04004,3.99106,2.7897,
,,,-0.716866,,2.49269,4.03707,5.14032,3.94616,4.63281,
,,,-3.93575,,1.16338,4.75191,3.04456,4.51828,5.11524,
,,,0.321286,,1.95628,0.419039,2.44861,2.49732,3.39609,
